1.572,1.6749,1.5044,1.6473,1.4686,1.7565,1.354,1.7407,1.2485,1.5354,3.1186,1.6759,1.4093,1.8558,1.6545,1.1513,1.6454,1.3737,1.3468,2.7986,1.5178,1.6906,1.3819,1.1584,1.5684,1.3933,1.1638,1.6969,1.5508,1.2249,1.3119,1.1901,1.2642,1.1735,1.1472,1.6548,1.1551,1.07,1.4609,1.5399,1.6252,2.9264,1.4844,1.6075,1.6058,1.2714,1.5479,1.3127,1.133,1.611
1.6076,1.6654,1.6003,1.6433,1.5052,1.6998,1.1877,1.6915,1.3347,1.5886,3.0226,1.6574,1.397,1.8788,1.6773,1.1599,1.641,1.2911,1.3633,2.8827,1.5825,1.5839,1.3399,1.2081,1.5482,1.3334,1.1687,1.7578,1.5572,1.2728,1.3109,1.1176,1.308,1.2192,1.154,1.6507,1.163,1.1858,1.5142,1.578,1.6498,2.8546,1.3967,1.6028,1.5936,1.2151,1.5866,1.2558,1.2012,1.6187
1.8723,2.2971,2.038,1.4239,1.3962,1.9881,1.3588,1.6103,1.4393,1.5545,3.6314,2.9411,1.32,1.5347,1.8231,1.2931,1.7726,2.9678,1.8451,2.1996,1.5718,1.3952,1.4308,1.433,1.5201,1.1251,1.7164,2.3144,1.7159,1.0925,1.4007,1.1811,1.5032,1.1236,1.1884,2.0484,1.3709,1.1429,1.3709,1.1471,2.8545,2.1867,1.0969,1.5853,1.6263,1.1956,1.3796,1.5752,1.1946,1.95
1.9568,1.4,1.981,2.0502,1.612,2.1181,1.35,1.3773,1.2734,1.6763,1.8252,2.0258,1.519,2.0494,1.6722,1.4262,1.6787,2.1514,2.1043,2.9157,1.6916,1.6857,1.312,1.5991,1.7836,1.2593,1.4154,1.957,1.5275,1.1107,1.2729,1.1513,2.2399,1.1634,1.128,1.6752,1.4156,1.2228,1.4607,2.5395,2.0401,2.9274,1.3074,1.7921,1.4051,1.1406,1.616,2.2645,1.2346,1.9179
1.9992,1.7152,2.0603,2.1157,1.3107,1.7796,1.3548,1.7788,1.6498,1.4812,2.2534,2.1271,1.1829,2.4792,1.7599,1.195,2.2849,2.0492,1.2586,1.9276,1.5694,1.4013,1.7289,1.787,2.5996,1.3711,1.3811,2.33,1.3446,1.1624,1.584,1.1729,1.3394,1.6566,1.8278,1.1074,1.7564,1.2286,1.5326,2.7434,2.07,1.8967,1.3067,2.5531,1.3029,1.8953,1.4428,1.3486,1.2121,2.0406
2.3464,1.7096,3.3397,1.9162,1.9386,2.0374,1.2273,2.0875,2.0192,1.4746,1.3512,2.2075,1.1922,1.7082,2.5715,1.0791,3.2351,1.3212,3.0369,1.6721,2.0979,1.3036,2.0126,1.0771,1.6835,1.3662,1.9047,2.6649,1.6062,1.1637,1.5854,1.1904,1.8866,2.336,1.3762,2.5032,2.2234,1.1848,1.5351,2.3039,2.231,1.6452,1.3862,1.7004,1.5625,1.3842,1.3443,1.8494,1.1592,3.2489
2.7011,1.8144,1.7322,1.8194,1.2762,2.06,1.272,1.4937,1.8165,2.5502,1.7367,2.0941,1.5803,2.3836,2.1992,1.7708,2.0849,1.8337,1.851,1.9688,2.859,1.819,1.8717,2.2243,2.2154,1.3245,2.43,2.4579,1.762,1.1975,1.4905,2.0555,1.9133,2.0873,2.1772,2.3155,2.16,1.0861,2.0071,3.1003,2.1117,1.9996,1.3509,2.1889,1.682,2.0911,1.7217,1.9161,1.1127,1.6873
2.4085,2.5178,2.5971,2.8329,1.5627,2.0018,1.4578,2.1783,1.9945,2.0971,1.6682,2.3507,3.0916,1.876,2.7472,1.5235,2.1177,3.0674,2.0943,1.2888,2.7161,1.7155,2.067,1.292,1.6477,1.8257,1.9862,2.2311,1.5752,1.4435,1.4889,1.0972,2.647,2.3866,1.7143,2.5385,1,1.42,2.1886,2.601,2.2926,1.3134,1.7001,1.6098,1.5413,1.7135,1.7358,2.698,1.4047,2.5697
2.8301,1.9257,1.988,2.0455,1.5976,3.2349,2.0768,2.6435,2.1736,2.0866,2.2492,1.966,1.9239,3.2735,2.6845,1.3062,2.2437,2.4661,1.847,1.5662,2.0071,1.8296,2.0727,1.2571,2.6618,1.7943,2.4754,3.0257,1.9861,1.2215,1.5992,2.3134,1.4692,2.9016,1.2096,1.812,1.7928,2.0015,2.1618,3.2777,2.0223,1.6212,1.7955,2.5302,1.9395,1.2679,1.8067,1.5584,2.0461,1.9045
2.4945,2.1939,2.31,2.0444,1.2656,2.5928,2.0126,2.0513,1.6338,1.7954,2.967,2.562,1.4325,2.3383,2.779,1.9436,2.1227,2.8104,2.3941,2.3642,2.4699,2.3663,1.5627,2.0659,2.3627,1.6939,1.695,2.4451,2.9116,2.4409,2.3771,1.726,2.3157,2.6068,1.026,2.6708,2.4028,1.2429,1.6976,2.6174,2.5587,2.3823,1.7987,2.4007,2.9666,1.0866,2.3888,2.2454,1.1697,2.3382
